Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Modified Countries,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.01,Coffee substitutes,2021,2021,tonnes,0.04,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,0.68,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,1.27,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.18,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,1.22,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,24570.48,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,28283.26,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,31900.92,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,29851.15,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,105.78,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,152.25,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,101.74,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,184.43,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,19.2,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,348,Hungary,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,2.04,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,1.73,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1.79,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,0.3,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,0.56,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,0.63,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,2.63,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,2.85,I,Imputed value,,
