Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","0","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","0","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","0.32","I","Imputed value"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","0.24","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","1.73","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","7.7","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","3.66","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","10.32","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2021","2021","tonnes","0.88","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2011","2011","tonnes","0","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2012","2012","tonnes","0","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2013","2013","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2014","2014","tonnes","3.17","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2015","2015","tonnes","2.19","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2016","2016","tonnes","4.25","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2017","2017","tonnes","12.29","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2018","2018","tonnes","3.23","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2019","2019","tonnes","36.25","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2020","2020","tonnes","12.25","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2021","2021","tonnes","7.13","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2011","2011","tonnes","326","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2012","2012","tonnes","390","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2013","2013","tonnes","482","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2014","2014","tonnes","548.79","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2015","2015","tonnes","375.9","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2016","2016","tonnes","281.71","A","Official figure"
